,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K00007,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K00499,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00305,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K10111,1,0.1860940545182945,0.03093859993613718,-0.04098598321215302,-0.021212375629168282,-0.1406567638069416,-0.00941862879627531,0.08105500478615334,-0.26690521728668043,0.12980544690093127,0.06573649613336319,0.12574205855944914,0.38807875133453124,0.0985707941378336,0.2603529338359166,0.2683137646398174,0.06655313276492977,0.19116270704950106,0.09977280985395968,-0.09765138975038447,-0.017681559427289977,0.18582145341774076,0.3093664206092063,0.0977022607468863,0.3067193053142358,0.37190207474640363,-0.009060078764144332,-0.08606616041312638,-0.2049794648002085,0.16219504586011108,0.15213481661460992,0.07120887913410825,-0.06799004620878739,0.2523704428351339,-0.19917125145434728,0.13769270296786432,0.19555236199907672
K10112,0.1860940545182945,1,0.6664525671752448,0.5768170623836981,0.5278411283171273,-0.16825447723361092,-0.15972130481959526,-0.041050192900131094,0.2794572009170155,0.13520353155815054,0.35281271677573506,-0.2833482670810376,-0.047826483905144844,0.7406527220609339,0.7304034735501489,0.6147273534733666,-0.004101534542811946,0.45356365544907684,0.25435753636326935,0.19805365210912465,0.6270961869492291,-0.34507296991165015,-0.20453694602496145,-0.30259970289987226,-0.2120881773743883,-0.03917453569499028,0.5492973254691532,0.7205139121849526,0.5879710341739491,0.4175820949207037,0.44044975574306594,0.6068160714089094,0.6596258519630477,0.24712190745832333,0.614101571245582,-0.23986165723376904,-0.07777177922496922
K10227,0.03093859993613718,0.6664525671752448,1,0.8205638279520956,0.7904835179254949,-0.05213779685021626,0.012468739470931184,0.05012028867379929,0.27164362806821446,-0.0031509472569931857,0.5992534656590534,-0.3114388780885935,-0.30231076157826997,0.6641861711303352,0.5503139921969912,0.5511746721525075,0.19662407921925867,0.4000381708807564,0.3087657225490808,0.39668720798358653,0.4704083917213232,-0.46224218911951953,-0.09965241587127696,-0.36655238200843127,-0.14596696858695427,-0.1637211806645803,0.5601760264847188,0.5536741307866505,0.6500923074664445,0.28786349505797204,0.3423726138611681,0.2897096443868619,0.4120014387485824,0.026569562572321553,0.408848670809186,-0.1443081065741416,-0.06498112354570414
K10228,-0.04098598321215302,0.5768170623836981,0.8205638279520956,1,0.8972335733237748,0.037185099306573405,0.11578182465306351,0.02211871559178496,0.31681561509357936,0.06594967476678165,0.6628942336278119,-0.03251242460305495,-0.35048408681864396,0.6381363801526101,0.48263041411735347,0.415864405286667,0.30554505448526204,0.4349131428948943,0.436498702557082,0.4978675690654374,0.37181190564451905,-0.5091752509884201,-0.04579705784548566,-0.20715420404328974,-0.09885787853904976,-0.20524540744052286,0.5926744941440731,0.40391398338832635,0.6604975427495514,0.17882690606660087,0.2367934257998451,0.17672383734800465,0.27240245321314405,-0.11261762891796011,0.325182871551316,-0.06882412919791625,0.10823145125226617
K10229,-0.021212375629168282,0.5278411283171273,0.790483517925495,0.8972335733237748,1,0.03601874373061023,0.14763389691517353,0.04744816742736582,0.2650221717194302,0.010928304906223056,0.6796787221558463,-0.0453937593014211,-0.3546509333981749,0.5792030081604668,0.4132706266221346,0.3179589947290545,0.3102752663131597,0.40806708902402866,0.39643138803979633,0.5123516347192386,0.31875911548122315,-0.47634922302979177,-0.036185289615418344,-0.21287435614055064,-0.06655345806457116,-0.17136263692590584,0.5589366468609842,0.35254678343661994,0.6417326284563805,0.12435271194599026,0.1904590188152449,0.14811501368786115,0.23719818266153672,-0.16082875063225802,0.3061397798108385,-0.0646127507401403,0.07890621110018116
K00008,-0.1406567638069416,-0.16825447723361092,-0.052137796850216266,0.037185099306573405,0.03601874373061023,1,0.03739298778113992,0.008222833047475042,0.07409955743240576,0.09484576581256712,0.15759904152916096,0.16789744126993367,-0.11884662399064382,-0.15720575242409351,-0.15078974192573824,-0.07239025787342,0.2695495564417185,0.09161322682747657,0.2309050460933017,0.011575038170710636,0.003726607059291082,0.03709998848318485,-0.12402613464072869,-0.03369043733720747,-0.11210256609624884,-0.16209235619614856,-0.03429326765166568,-0.05714259350097656,0.10974693919151793,-0.07541318589668353,0.04526873272592545,-0.07307080225620828,-0.02052429319876506,-0.10404452382253439,0.08457258069166125,0.0680465030619381,-0.020659850461261956
K19270,-0.00941862879627531,-0.15972130481959523,0.012468739470931182,0.1157818246530635,0.14763389691517353,0.03739298778113991,1,0.0032551123776672648,-0.02207459128056322,0.00674039895810105,0.01292060771902835,0.2692288938867316,-0.0017039206339324986,-0.10160916532993258,-0.11547116523249672,-0.17054260796933884,0.22768511350995962,0.0005083517791093121,0.1783043865225912,0.07508073359789479,-0.24206017215255077,0.17886053184022394,0.18742658523438385,0.2619205875960109,0.21575591764856378,0.045876686315460644,-0.10830717071578955,-0.239946746700513,-0.12114305313829966,-0.13749974232723355,-0.16569443822412966,-0.17656281098305004,-0.23461846694170055,-0.143706239058529,-0.10621257310742246,0.09238371101123738,0.00747784179721592
K00007,0.08105500478615334,-0.04105019290013109,0.05012028867379929,0.02211871559178496,0.04744816742736582,0.008222833047475042,0.0032551123776672643,1,0.11436882818737816,0.11089375340794344,-0.01216895309950734,0.031429387662655746,0.08773747400478071,0.00382800022603658,-0.013630000804827217,0.01518909613498425,0.08992348150029725,0.051069003015533465,0.06539914671884572,0.10134533931759472,0.07867562369327417,0.007594218678481201,0.1995472338419139,0.10209012492531525,0.15990419742391443,-0.07918499389348731,0.09736543432068366,-0.10851248259794459,0.008139333813946464,0.0573330033854115,0.031404239949602404,-0.06998805175171714,-0.08629710033378496,0.11314959738042316,-0.13113524583854028,0.042081277224225354,0.1496357266286079
K24204,-0.26690521728668043,0.2794572009170155,0.27164362806821446,0.31681561509357936,0.2650221717194302,0.07409955743240577,-0.02207459128056322,0.11436882818737816,1,0.019776117942631274,0.1461570567391497,-0.11796670243417554,-0.18208423653184777,0.20508041452324885,0.17567972141738908,0.16806758646842707,0.10977071903336849,0.10531875664151381,0.0894199469872482,0.0995565238736421,0.33716823519382666,-0.15022255608853194,-0.1271493906914288,0.029925188644826132,-0.11323061727367222,-0.1999888804993574,0.22772092563267674,0.43909950862061664,0.35242761812016293,0.22490449114318461,0.18514730270982224,0.3002404176288451,0.3650830927816079,0.25707600376767453,0.4110405028109323,-0.2563518596437982,-0.18213691813618954
K00009,0.12980544690093127,0.1352035315581505,-0.0031509472569931857,0.06594967476678165,0.010928304906223056,0.09484576581256712,0.006740398958101049,0.11089375340794343,0.01977611794263127,1,-0.05910457676527637,0.2762388324310723,0.40537863457094125,0.07401789818866317,0.1113925003062655,0.04691828366098793,0.2694188365013384,0.31069404339164836,0.25338699303186113,-0.1389518191367228,-0.007736061829851352,0.08009028240854413,0.13625123075736512,0.09493821341335568,0.07961120360415551,-0.0292942516416144,-0.05335597904685404,-0.00023122851157899907,-0.016446586672785632,0.11759254416634209,0.1243504726892759,0.027529956479780588,-0.04702839247602555,0.14678520251734017,-0.012502855947521591,0.085752206538832,0.18731484501459988
