,K10111,K10112,K10227,K10228,K10229,K00008,K19270,K24204,K00009,K00045,K02798,K02800,K02000,K02001,K02002,K05845,K05846,K05847,K00130,K14085,K18897,K24071,K18896,K13042,K00108,K00315,K00544,K00314,K00304,K00303,K00309,K00302,K00306,K00301
K10111,1,0.5801045311921632,0.6006769502257719,0.6067681890677605,0.5300213619596313,-0.1403305218678458,-0.07916848039620475,-0.3816166763180447,0.39744942922864873,0.4536833655310283,0.3927075572839584,0.5332930555975054,0.5570313288316885,0.5598309076300787,0.5404873017691371,0.49017391481973177,0.5289756165188828,0.48820752467988077,0.21234621958522215,-0.3289235404014428,0.3187468016310648,0.2593736173587098,0.33194509800226635,0.13196123996684,0.05165578302436232,-0.21665175260664785,-0.30415156727684567,-0.29761863116812537,0.5997023341539482,0.36684879033496837,0.1224446790931694,0.44366277014259814,-0.1400163078242879,0.34352466084013583
K10112,0.5801045311921632,1,0.5390743107363991,0.4855334617848255,0.43162571345806905,-0.2171702118012251,-0.15441045569268713,-0.4259909904129456,0.5775401294333102,0.5078601527344246,0.43121267654310075,0.7614192512311788,0.7690456928259471,0.7593738575322042,0.7745999055827125,0.7452445752438281,0.7568357776040083,0.6056718295492091,0.14001338325648294,-0.3881191364959201,0.33470600688269353,0.29113649454333984,0.4017581207667437,0.17015533979827027,-0.15810235043314924,-0.34868704438476966,-0.3978513139414897,-0.4078748029207444,0.6500812059459796,0.27998731716115255,0.12200595176431962,0.4085464186224104,-0.2180491862924415,0.36735051823175513
K10227,0.6006769502257719,0.539074310736399,1,0.6725457034871557,0.38009704034009245,-0.21719930874082238,-0.18053893885772393,-0.45370303679064766,0.38383522969608985,0.448061333285165,0.3444329024494401,0.48445007559072245,0.5895000828406265,0.6014072809293552,0.6038066608520863,0.4588907084543014,0.4882467826173766,0.4063907496276556,0.2916657897051746,-0.32359742573158246,0.35761574768364573,0.22766531375555765,0.32974431442457447,0.21642912108833848,0.009615535102224775,-0.3213222102056517,-0.43494959254055826,-0.449108255321544,0.6066532239876486,0.33236179889641027,0.08075378975107127,0.4447603145691802,-0.2539925961644118,0.30395665655488213
K10228,0.6067681890677605,0.4855334617848256,0.6725457034871556,1,0.4212265334084855,-0.17366144863014943,-0.0746900278373983,-0.3940462202243259,0.39054887531131777,0.38869306277066523,0.37819917608393133,0.4703974016472114,0.46949905195939473,0.49778676245262476,0.4570511133931353,0.39315349377815084,0.42294641792669346,0.3877585551970432,0.15718326470200616,-0.3550093190975396,0.38369707136208675,0.25906662565234256,0.34512472355153584,0.0901628407647804,0.010000301550346102,-0.2878183204951704,-0.3733086278533306,-0.35820316393928353,0.5006402831431284,0.30342421751095927,0.13097848143210178,0.39734936088493883,-0.1612340513042768,0.3353485097668923
K10229,0.5300213619596313,0.431625713458069,0.38009704034009245,0.4212265334084855,1,0.011775213683178033,-0.04250744804537427,-0.1983950730847351,0.4752141594902848,0.3995491289361862,0.29674479423427047,0.45236877010233906,0.47066733274907296,0.4624140286006164,0.44850166318684165,0.41464885153277375,0.4500433053392647,0.4169667544781491,0.2369860731054952,-0.21708367488278713,0.15730701615340542,0.2403982652200093,0.2408725501046579,0.022408585108922994,0.14885395280743532,-0.00823445952397404,-0.16423041150693785,-0.1211037154640345,0.39063977230712377,0.2660490518232495,0.11314271867299916,0.4460392727875949,0.0797460057904377,0.6051679849738744
K00008,-0.14033052186784578,-0.21717021180122512,-0.21719930874082236,-0.17366144863014946,0.011775213683178033,1,0.39203237825552195,0.5382399942821788,-0.23702594723640508,-0.3014232079249607,0.0016885518546347917,-0.13554656994184297,-0.24035410638309174,-0.1979180684977575,-0.19550318123907665,-0.055738944867562805,-0.10621653160829078,-0.3389894892769962,0.37671297137616694,0.6705626296905177,-0.4972332930204161,-0.27390452616160976,-0.37229614004963335,-0.037685818451862065,0.43467021101254744,0.47713657424038153,0.7886902120550021,0.693352379261914,0.0009899071441740927,0.09222158887805819,-0.012429761352484171,0.04669632512904994,0.7413533510221371,0.06358578617792622
K19270,-0.07916848039620475,-0.15441045569268713,-0.18053893885772393,-0.07469002783739831,-0.04250744804537427,0.39203237825552195,1,0.4459368732368123,0.027082912348786944,-0.04819571627618925,-0.01864197625813221,-0.10179043996221665,-0.20255143214379775,-0.16217326377965482,-0.1767605422354215,-0.12188186252397051,-0.13983742903493945,-0.03991282354795118,0.11099765283350177,0.20686963814242207,-0.14905096594493544,-0.14534398539205534,-0.1826783602990658,-0.13229367304799358,0.3318158614533952,0.30929273255648326,0.35458793485876516,0.37324016859924963,-0.102788797090117,0.1454947480541617,0.07825674306409766,0.013981385428778663,0.40744341714059823,-0.0018333863901533794
K24204,-0.3816166763180447,-0.4259909904129456,-0.4537030367906476,-0.3940462202243259,-0.19839507308473509,0.538239994282179,0.44593687323681236,1,-0.3774182319181322,-0.3355402727802848,-0.16271828119212414,-0.37076660557362084,-0.5150499851750853,-0.4589121148893811,-0.46810558541357583,-0.28705600107028045,-0.3245511434224438,-0.4787747198428083,0.15748826391152657,0.6363018319789769,-0.6042962703446441,-0.3199181344404029,-0.47271724846689467,-0.2320146238814373,0.3472000816389901,0.6499343149195754,0.7580256612403872,0.7621773161469562,-0.18119617410135766,-0.02563474258244617,-0.05537676765993282,-0.17249383874839272,0.6323053250720819,-0.1752819444040823
K00009,0.3974494292286488,0.5775401294333102,0.3838352296960899,0.39054887531131777,0.47521415949028484,-0.23702594723640508,0.027082912348786944,-0.37741823191813223,1,0.713739731229673,0.41296452800198974,0.5781921955235031,0.6034362327623211,0.5745509549588379,0.5478097617661674,0.4671635575352341,0.4863908864838417,0.6059831209867642,0.11982687373912851,-0.4752428427354184,0.4355131192966034,0.30455306215124367,0.35535942628870476,-0.04642855984383814,-0.006783931513217739,-0.30613127220300335,-0.42892297049066097,-0.38197134793949233,0.26449717647582804,0.16992920419660404,0.18583652575775672,0.3747181551855601,-0.16751195604142452,0.4271727023221261
K00045,0.4536833655310283,0.5078601527344246,0.448061333285165,0.38869306277066523,0.3995491289361862,-0.30142320792496063,-0.04819571627618925,-0.33554027278028487,0.7137397312296732,1,0.3262733813890412,0.4326641414746682,0.48965290587231464,0.4859477326547947,0.4793842605927977,0.4075458666002772,0.4106661101492187,0.4829553306954668,0.14068728543356268,-0.42244788170209857,0.3936281726537191,0.24974857774816783,0.3003691917778021,-0.008024642915667396,-0.07323452277002457,-0.3322040732357167,-0.431959034758956,-0.39033018515297807,0.37068034275449235,0.21063978460163477,0.1540093802138137,0.3658590390180402,-0.23617371886748287,0.276497984483921
