	full_bitscore	domain_bitscore
K00836	838.3	838.0
K06718	217.4	217.2
K06720	201.9	201.8
K15785	811.2	811.0
K00928	446.1	445.9
K10674	11.6	11.2
K15783	617.1	617.0
K15784	497.1	496.9
K00003	242.3	241.7
K00133	474.3	474.2
