,K16953,K17486
kofamscan/ko_tables/DMSP/GCF_000210915.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000590925.1.csv,0,1
kofamscan/ko_tables/DMSP/GCF_001044335.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000015645.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000485905.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000018285.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000063525.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003290325.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003569745.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002211785.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000018365.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000520135.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001941625.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000195975.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001991055.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002214265.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000750535.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000017325.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000014225.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002891985.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001266795.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003443635.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000978555.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001932915.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000355675.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000981565.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000185805.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_900106075.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000007305.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000020365.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001433455.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000017185.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000970005.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000014665.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003355455.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003330945.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000153405.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000300005.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_900105995.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_004014695.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002844375.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003719615.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002381305.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001444365.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_900091425.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001886815.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001046955.1.csv,0,1
kofamscan/ko_tables/DMSP/GCF_000503895.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003991135.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000833025.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002954615.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000013605.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001889025.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000756615.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000214415.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000953735.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003352065.1.csv,0,1
kofamscan/ko_tables/DMSP/GCF_003687485.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002119765.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_900105105.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001680085.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001465835.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003076275.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000195085.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003269425.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000739395.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001889045.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003008555.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002072815.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000017845.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002442495.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001281485.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_900636325.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003410355.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000265525.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002097535.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000213825.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000011105.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001999945.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002215585.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003856835.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001887055.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003209315.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000300175.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003850185.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000211855.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000801295.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000024625.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000511355.1.csv,0,1
kofamscan/ko_tables/DMSP/GCF_000007225.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001693615.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000025505.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002892045.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002310335.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000828475.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003516165.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000023325.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000307105.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_002813655.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000018065.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_000172995.2.csv,0,0
kofamscan/ko_tables/DMSP/GCF_001412615.1.csv,0,0
kofamscan/ko_tables/DMSP/GCF_003074055.1.csv,0,0
