assembly_id	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_002208135.1	14	13	86.67	13.33
GCF_003429325.1	13	12	80.00	13.33
GCF_003429305.1	13	12	80.00	20.00
GCF_003491425.1	14	13	86.67	13.33
