,K16953,K17486
kofamscan/ko_tables/DMSP/MMETSP1380_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0409_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0320_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1374_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0907_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1407_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0816_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0661_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1165_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1411_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0759_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1319_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0117_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0887_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1174_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0898_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0088_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1395_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0398_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0922_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0780_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0227_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0141_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1007_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0852_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0812_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0105_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1384_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1063_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0467_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0086_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1366_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1439_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0693_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1032_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1399_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0100_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0328_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1042_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1171_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0209_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0252_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0471_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0955_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0199_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1057_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0434_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1097_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0115_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0593_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0798_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0318_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0527_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1357_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1058_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0095_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0950_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1321_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0211_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1326_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1002_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0818_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0718_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0415_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0976_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0751_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1371_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1422_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1419_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1421_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1396_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0404_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0041_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1425_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0308_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0910_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1432_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0259_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1176_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1465_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1104_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0004_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1172_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1055_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1403_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0574_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0202_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0796_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0797_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1127_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1413_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0991_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1474_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1406_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1123_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0930_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0573_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1013_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1080_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1464_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0891_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1169_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1128_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1155_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0149_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1100_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0942_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1137_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0973_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0413_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0200_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1047_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP0347_clean.csv,0,0
kofamscan/ko_tables/DMSP/MMETSP1394_clean.csv,0,0
