assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCF_000006175.1	GCF_000006175.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_voltae_A3	NCBI	456320	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae
GCF_000007225.1	GCF_000007225.1_Archaea_Crenarchaeota_Thermoprotei_Pyrobaculum_aerophilum_IM2	NCBI	178306	14	14	93.33	0.00	8	Yes	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
GCF_000007305.1	GCF_000007305.1_Archaea_Euryarchaeota_Thermococci_Pyrococcus_furiosus_DSM_3638	NCBI	186497	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
GCF_000007925.1	GCF_000007925.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_CCMP1375_SS120	NCBI	167539	14	14	93.33	0.00	13	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000008465.1	GCF_000008465.1_Bacteria_Proteobacteria_Gammaproteobacteria_Idiomarina_loihiensis_L2TR	NCBI	283942	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis
GCF_000008545.1	GCF_000008545.1_Bacteria_Thermotogae_Thermotogae_Thermotoga_maritima_MSB8	NCBI	243274	14	14	93.33	0.00	12	Yes	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima
GCF_000008665.1	GCF_000008665.1_Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobus_fulgidus_DSM_4304	NCBI	224325	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
GCF_000009185.1	GCF_000009185.1_Archaea_Euryarchaeota_Halobacteria_Haloquadratum_walsbyi_DSM_16790_=_HBSQ001	NCBI	362976	13	12	80.00	6.67	5	No	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
GCF_000009365.1	GCF_000009365.1_Bacteria_Proteobacteria_Gammaproteobacteria_Alcanivorax_borkumensis_SK2	NCBI	393595	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis
GCF_000009785.1	GCF_000009785.1_Bacteria_Firmicutes_Bacilli_Geobacillus_kaustophilus_HTA426	NCBI	235909	14	14	93.33	0.00	14	Yes	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus kaustophilus
GCF_000010105.1	GCF_000010105.1_Bacteria_Actinobacteria_Actinobacteria_Rhodococcus_erythropolis_PR4	NCBI	234621	14	14	93.33	0.00	14	Yes	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis
GCF_000010325.1	GCF_000010325.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Nitratiruptor_sp_SB155-2_SB155-2	NCBI	387092	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Epsilonproteobacteria	NA	NA	Nitratiruptor	Nitratiruptor sp. SB155-2
GCF_000010345.1	GCF_000010345.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Sulfurovum_sp_NBC37-1_NBC37-1	NCBI	387093	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Epsilonproteobacteria	NA	NA	Sulfurovum	Sulfurovum sp. NBC37-1
GCF_000010405.1	GCF_000010405.1_Bacteria_Proteobacteria_Gammaproteobacteria_Candidatus_Vesicomyosocius_okutanii_HA	NCBI	412965	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Vesicomyosocius	Candidatus Vesicomyosocius okutanii
GCF_000010985.1	GCF_000010985.1_Bacteria_Deferribacteres_Deferribacteres_Deferribacter_desulfuricans_SSM1	NCBI	639282	14	14	93.33	0.00	14	Yes	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	Deferribacter desulfuricans
GCF_000011105.1	GCF_000011105.1_Archaea_Euryarchaeota_Thermococci_Pyrococcus_horikoshii_OT3	NCBI	70601	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
GCF_000011185.1	GCF_000011185.1_Archaea_Euryarchaeota_Thermoplasmata_Thermoplasma_volcanium_GSS1	NCBI	273116	13	13	86.67	0.00	7	No	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium
GCF_000011245.1	GCF_000011245.1_Bacteria_Firmicutes_Bacilli_Oceanobacillus_iheyensis_HTE831	NCBI	221109	14	14	93.33	0.00	14	Yes	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis
GCF_000011465.1	GCF_000011465.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MED4	NCBI	59919	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000011485.1	GCF_000011485.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT9313	NCBI	74547	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000011585.1	GCF_000011585.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_maripaludis_S2	NCBI	267377	14	14	93.33	0.00	8	Yes	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000011805.1	GCF_000011805.1_Bacteria_Proteobacteria_Gammaproteobacteria_Aliivibrio_fischeri_ES114	NCBI	312309	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
GCF_000011965.2	GCF_000011965.2_Bacteria_Proteobacteria_Alphaproteobacteria_Ruegeria_pomeroyi_DSS-3	NCBI	246200	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria pomeroyi
GCF_000012325.1	GCF_000012325.1_Bacteria_Proteobacteria_Gammaproteobacteria_Colwellia_psychrerythraea_34H_BAA-681	NCBI	167879	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia psychrerythraea
GCF_000012345.1	GCF_000012345.1_Bacteria_Proteobacteria_Alphaproteobacteria_Candidatus_Pelagibacter_ubique_HTCC1062	NCBI	335992	14	14	93.33	0.00	13	Yes	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
GCF_000012465.1	GCF_000012465.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_NATL2A	NCBI	59920	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012505.1	GCF_000012505.1_Bacteria_Cyanobacteria_NA_Synechococcus_sp_CC9902_CC9902	NCBI	316279	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9902
GCF_000012605.1	GCF_000012605.1_Bacteria_Proteobacteria_Gammaproteobacteria_Hydrogenovibrio_crunogenus_XCL-2	NCBI	317025	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus
GCF_000012625.1	GCF_000012625.1_Bacteria_Cyanobacteria_NA_Synechococcus_sp_CC9605_CC9605	NCBI	110662	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9605
GCF_000012645.1	GCF_000012645.1_Bacteria_Cyanobacteria_NA_Prochlorococcus_marinus_MIT_9312	NCBI	74546	14	14	93.33	0.00	14	Yes	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
GCF_000012805.1	GCF_000012805.1_Bacteria_Proteobacteria_Gammaproteobacteria_Nitrosococcus_oceani_ATCC_19707_JCM30415_Type_strain	NCBI	323261	14	14	93.33	0.00	14	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus oceani
