input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000010405.1	GCF_000010405.1	ASM1040v1	412965	Candidatus Vesicomyosocius okutanii	strain=HA	latest	Complete Genome	14	14	93.33	0.00
GCF_000007925.1	GCF_000007925.1	ASM792v1	167539	Prochlorococcus marinus subsp. marinus str. CCMP1375	strain=CCMP1375; SS120	latest	Complete Genome	14	14	93.33	0.00
GCF_000011585.1	GCF_000011585.1	ASM1158v1	267377	Methanococcus maripaludis S2	strain=S2	latest	Complete Genome	14	14	93.33	0.00
GCF_000011185.1	GCF_000011185.1	ASM1118v1	273116	Thermoplasma volcanium GSS1	strain=GSS1	latest	Complete Genome	13	13	86.67	0.00
GCF_000006175.1	GCF_000006175.1	ASM617v2	456320	Methanococcus voltae A3	strain=A3	latest	Complete Genome	14	14	93.33	0.00
GCF_000011465.1	GCF_000011465.1	ASM1146v1	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	strain=MED4	latest	Complete Genome	14	14	93.33	0.00
GCF_000008545.1	GCF_000008545.1	ASM854v1	243274	Thermotoga maritima MSB8	strain=MSB8	latest	Complete Genome	14	14	93.33	0.00
GCF_000010325.1	GCF_000010325.1	ASM1032v1	387092	Nitratiruptor sp. SB155-2	strain=SB155-2	latest	Complete Genome	14	14	93.33	0.00
GCF_000008665.1	GCF_000008665.1	ASM866v1	224325	Archaeoglobus fulgidus DSM 4304	strain=DSM 4304	latest	Complete Genome	14	14	93.33	0.00
GCF_000012965.1	GCF_000012965.1	ASM1296v1	326298	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	latest	Complete Genome	14	14	93.33	0.00
GCF_000009185.1	GCF_000009185.1	ASM918v1	362976	Haloquadratum walsbyi DSM 16790	strain=DSM 16790 = HBSQ001	latest	Complete Genome	13	12	80.00	6.67
GCF_000011485.1	GCF_000011485.1	ASM1148v1	74547	Prochlorococcus marinus str. MIT 9313	strain=MIT9313	latest	Complete Genome	14	14	93.33	0.00
